vendor,display_name,official_website_url,search_url_template,sample_sku_primary,validation_sample_skus,validation_success_count,validation_total_count,validation_summary,search_recipe_kind,search_submit_status,dom_search_candidates_found,dom_search_input_selector,dom_search_input_name,dom_search_input_type,dom_search_input_visible,dom_form_selector,dom_form_action,dom_form_method,dom_submit_selector,primary_request_method,primary_request_resource_type,primary_request_url_template,primary_request_post_data_template,primary_request_status,primary_request_header_names,primary_request_cookie_header,primary_request_curl,primary_xhr_method,primary_xhr_url_template,primary_xhr_post_data_template,primary_xhr_status,primary_xhr_header_names,primary_xhr_cookie_header,primary_xhr_curl,all_relevant_xhr_templates,final_url_template,final_result_kind,api_observed,hidden_form_observed,browser_required_observed,notes
Camburg Suspension,Camburg Suspension,https://www.suspensionlifts.com/brand/camburg/,https://www.suspensionlifts.com/?post_type=product&s={sku}&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,CAM-030061,CAM-030061|CAM-030049|CAM-030050,0,3,CAM-030061:search_no_results(Search returned no results) | CAM-030049:search_no_results(Search returned no results) | CAM-030050:search_no_results(Search returned no results),form_get,review,2,"input[name=""phrase""]",phrase,search,True,form,#,get,,GET,document,https://www.suspensionlifts.com/?post_type=product&s={sku}&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,,0,,,curl -X GET 'https://www.suspensionlifts.com/?post_type=product&s=CAM-030061&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701',,,,,,,,,https://www.suspensionlifts.com/,search_no_results,no,no,no,Search returned no results
Carli Suspension,Carli Suspension,https://www.carlisuspension.com/,https://www.carlisuspension.com/?s={sku},CS-FLC-05,CS-FLC-05|CS-RAM15MRC-09-R|CS-DMRC-14-R1,0,3,CS-FLC-05:blocked(Bot challenge page) | CS-RAM15MRC-09-R:blocked(Bot challenge page) | CS-DMRC-14-R1:blocked(Bot challenge page),direct_template_get,review,0,,,,,,,,,GET,document,https://www.carlisuspension.com/?s={sku},,0,,,curl -X GET 'https://www.carlisuspension.com/?s=CS-FLC-05',,,,,,,,,https://www.carlisuspension.com/,blocked,no,no,yes,No visible search input found
Cataclean,Cataclean,https://cataclean.com/,https://cataclean.com/?s={sku},CAC-120020CAT,CAC-120020CAT|CAC-120007|CAC-120019,0,3,CAC-120020CAT:blocked(Bot challenge page) | CAC-120007:blocked(Bot challenge page) | CAC-120019:blocked(Bot challenge page),direct_template_get,review,0,,,,,,,,,GET,document,https://cataclean.com/?s={sku},,0,,,curl -X GET 'https://cataclean.com/?s=CAC-120020CAT',,,,,,,,,https://cataclean.com/,blocked,no,no,yes,No visible search input found
CJC Off-Road,CJC Off-Road,https://www.cjcoffroad.com/,https://www.cjcoffroad.com/search?q={sku},CJC-3500-PLOW,CJC-3500-PLOW|CJC-SHOCKGUARD|CJC-SPDMCMBO,0,3,CJC-3500-PLOW:blocked(Bot challenge page) | CJC-SHOCKGUARD:blocked(Bot challenge page) | CJC-SPDMCMBO:blocked(Bot challenge page),form_get,review,1,"input[name=""q""]",q,search,True,form,/search,get,"button[type=""submit""]",GET,document,https://www.cjcoffroad.com/search?q={sku},,200,,,curl -X GET 'https://www.cjcoffroad.com/search?q=CJC-3500-PLOW',,,,,,,,https://www.google.com/ccm/collect?frm=0&en=page_view&dr=www.cjcoffroad.com&dl=https%3A%2F%2Fwww.cjcoffroad.com%2Fsearch&scrsrc=www.googletagmanager.com&rnd=183968313.1773029351&dt=Search%3A%202%20results%20found%20for%20%22{sku}%22%20%E2%80%93%20CJC%20Off%20Road&auid=186101846.1773029347&navt=n&npa=0&did=dN2ZkMj&gdid=dN2ZkMj&gtm=45be6341v9179472254za200zd9179472254xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=103116026~103200004~115938465~115938469~116024733~117484252&apve=1&apvf=f&apvc=1&tids=AW-986696157&tid=AW-986696157&tft=1773029350780&tfd=697 | https://www.google.com/ccm/collect?frm=0&en=page_view&dr=www.cjcoffroad.com&dl=https%3A%2F%2Fwww.cjcoffroad.com%2Fsearch&scrsrc=www.googletagmanager.com&rnd=183968313.1773029351&dt=Search%3A%202%20results%20found%20for%20%22{sku}%22%20%E2%80%93%20CJC%20Off%20Road&auid=186101846.1773029347&navt=n&npa=0&did=dN2ZkMj&gdid=dN2ZkMj&gtm=45be6341v9179472254za200zd9179472254xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=103116026~103200004~115938465~115938469~116024733~117484252&apve=1&apvf=f&apvc=0&tids=AW-986696157&tid=AW-986696157&tft=1773029350791&tfd=708,https://www.cjcoffroad.com/search?q={sku},blocked,no,no,yes,Bot challenge page
Clampco,Clampco,https://www.clampco.com/about/,https://clampco.com/?s={sku},DPP-94158-0300,DPP-94158-0300|DPP-94158-0325|DPP-94158-0411,0,3,DPP-94158-0300:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | DPP-94158-0325:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | DPP-94158-0411:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)),direct_template_get,review,2,,,,,,,,,GET,document,https://clampco.com/?s={sku},,0,,,curl -X GET 'https://clampco.com/?s=DPP-94158-0300',,,,,,,,,https://www.clampco.com/,search_results,no,no,yes,Search results page but SKU not visible in HTML (possible JS-rendered results)
CNC Fabrication,CNC Fabrication,https://cncfabrication.com/,https://cncfabrication.com/?s={sku},CNC-424005,CNC-424005|CNC-424001|CNC-424003,0,3,CNC-424005:blocked(Bot challenge page) | CNC-424001:blocked(Bot challenge page) | CNC-424003:blocked(Bot challenge page),form_get,review,1,"input[name=""s""]",s,search,True,form,https://cncfabrication.com/,get,,GET,document,https://cncfabrication.com/?s={sku},,200,,,curl -X GET 'https://cncfabrication.com/?s=CNC-424005',,,,,,,,,https://cncfabrication.com/?s={sku},blocked,no,no,yes,Bot challenge page
Cognito Motorsports Suspension,Cognito Motorsports Suspension,https://cognitomotorsports.com/,https://cognitomotorsports.com/catalogsearch/result/?q={sku},CM-110-90715,CM-110-90715|CM-110-90283|CM-110-90284,0,3,CM-110-90715:blocked(Bot challenge page) | CM-110-90283:blocked(Bot challenge page) | CM-110-90284:blocked(Bot challenge page),xhr_api,review,1,"input[name=""q""]",q,text,True,,,,,GET,document,https://cognitomotorsports.com/catalogsearch/result/?q={sku},,200,,,curl -X GET 'https://cognitomotorsports.com/catalogsearch/result/?q=CM-110-90715',GET,https://cognitomotorsports.com/amasty_xsearch/autocomplete/indexrecent?uenc=aHR0cHM6Ly9jb2duaXRvbW90b3JzcG9ydHMuY29tLw~~&_=1773029361420,,0,:authority|:method|:path|:scheme|accept|accept-encoding|cookie|priority|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent|x-requested-with,PHPSESSID=8j8gofgiqb585ma39d4m9014rj; _gcl_au=1.1.1736837636.1773029358; _ga_8SMREDQ70S=GS2.1.s1773029357$o1$g0$t1773029357$j60$l0$h0; _ga=GA1.1.655241551.1773029358; _clck=ei2bpd%5E2%5Eg47%5E0%5E2259; _clsk=1mgesr7%5E1773029359974%5E1%5...,"curl -X GET 'https://cognitomotorsports.com/amasty_xsearch/autocomplete/indexrecent?uenc=aHR0cHM6Ly9jb2duaXRvbW90b3JzcG9ydHMuY29tLw~~&_=1773029361420' -H ':authority: cognitomotorsports.com' -H ':method: GET' -H ':path: /amasty_xsearch/autocomplete/indexrecent?uenc=aHR0cHM6Ly9jb2duaXRvbW90b3JzcG9ydHMuY29tLw~~&_=1773029361420' -H ':scheme: https' -H 'accept: text/html, */*; q=0.01' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'cookie: PHPSESSID=8j8gofgiqb585ma39d4m9014rj; _gcl_au=1.1.1736837636.1773029358; _ga_8SMREDQ70S=GS2.1.s1773029357$o1$g0$t1773029357$j60$l0$h0; _ga=GA1.1.655241551.1773029358; _clck=ei2bpd%5E2%5Eg47%5E0%5E2259; _clsk=1mgesr7%5E1773029359974%5E1%5E1%5En.clarity.ms%...",https://cognitomotorsports.com/amasty_xsearch/autocomplete/indexrecent?uenc=aHR0cHM6Ly9jb2duaXRvbW90b3JzcG9ydHMuY29tLw~~&_=1773029361420 | https://cognitomotorsports.com/amasty_xsearch/autocomplete/index/?q={sku}&uenc=aHR0cHM6Ly9jb2duaXRvbW90b3JzcG9ydHMuY29tLw~~&form_key=XBsLC7b3KYYMFHhK&_=1773029361421 | https://cognitomotorsports.com/static/version1772623220/frontend/TorqueDigital/cognito/en_US/js-translation.json | https://www.google.com/ccm/collect?frm=0&ae=g&en=page_view&dr=cognitomotorsports.com&dl=https%3A%2F%2Fcognitomotorsports.com%2Fcatalogsearch%2Fresult%2F&scrsrc=www.googletagmanager.com&rnd=952875394.1773029367&dt=Search%20results%20for%3A%20%27{sku}%27&auid=1736837636.1773029358&navt=n&npa=0&ep.ads_data_redaction=0&gtm=45He6341v71852674za200zd71852674xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=103116026~103200004~115938466~115938468~116024733~117484252~117625638~117625639~117625641&apve=1&apvf=f&apvc=1&tft=1773029367445&tfd=4209 | https://analytics.google.com/g/collect?v=2&tid=G-8SMREDQ70S&gtm=45je6341v9204990796z871852674za20gzb71852674zd71852674&_p=1773029367414&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=655241551.1773029358&ul=en-us&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAGQ&_s=1&tag_exp=103116026~103200004~115616986~115938466~115938468~116024733~117484252~117625640&sid=1773029357&sct=1&seg=1&dl=https%3A%2F%2Fcognitomotorsports.com%2Fcatalogsearch%2Fresult%2F%3Fq%3D{sku}&dr=https%3A%2F%2Fcognitomotorsports.com%2F&dt=Search%20results%20for%3A%20%27{sku}%27&en=page_view&tfd=4226,https://cognitomotorsports.com/catalogsearch/result/?q={sku},blocked,yes,no,yes,Bot challenge page
Cometic Gaskets,Cometic Gaskets,https://www.cometic.com/,https://cometic.com/products/search?q={sku},COM-C4514,COM-C4514|COM-PRO3004T-054|COM-PRO3004T-061,0,3,COM-C4514:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | COM-PRO3004T-054:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | COM-PRO3004T-061:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)),form_post_then_results_page,review,1,input#search-text,search_text,text,True,form#site-search,products,post,,POST,document,https://cometic.com/products/search?q={sku},search_text={sku},0,,,curl -X POST 'https://cometic.com/products/search?q=COM-C4514' --data-raw search_text=COM-C4514,,,,,,,,,https://www.cometic.com/,unknown,no,no,no,Unknown page type
ComeUp Winch,ComeUp Winch,https://www.comeupwinch.com/,https://comeupwinch.com/search.php?search_query={sku},CU-295620,CU-295620|CU-295660|CU-850013,0,3,CU-295620:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | CU-295660:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | CU-850013:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)),direct_template_get,review,0,,,,,,,,,GET,document,https://comeupwinch.com/search.php?search_query={sku},,0,,,curl -X GET 'https://comeupwinch.com/search.php?search_query=CU-295620',,,,,,,,,https://www.comeupwinch.com/,unknown,no,no,yes,Unknown page type
Complete Performance,Complete Performance,https://cpaddict.com/,https://cpaddict.com/search?q={sku},CP-310,CP-310|CP-2WD-LK|CP-CLR-TAIL,0,3,CP-310:blocked(Bot challenge page) | CP-2WD-LK:blocked(Bot challenge page) | CP-CLR-TAIL:blocked(Bot challenge page),xhr_api,review,2,input#Search-In-Modal,q,search,True,form,/search,get,"button[type=""submit""]",GET,document,https://cpaddict.com/search?q={sku},,200,,,curl -X GET 'https://cpaddict.com/search?q=CP-310',GET,https://cpaddict.com/search/suggest?q={sku}&section_id=predictive-search,,0,:authority|:method|:path|:scheme|accept|accept-encoding|cookie|priority|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent,localization=US; cart_currency=USD; _shopify_y=7e64b2eb-7d0a-49e0-b126-86895ed3d381; _shopify_s=34eee881-5a7a-4970-bd87-a39ab9ae66b5; _shopify_analytics=:AZzQys3yAAEAqY5f9pJRi1nr9cSMpbzy2f5Wz9dztLH6L61gk4u8Lijqpn1dSvxjVJc_KiM:; kaktusbot...,"curl -X GET 'https://cpaddict.com/search/suggest?q=CP-310&section_id=predictive-search' -H ':authority: cpaddict.com' -H ':method: GET' -H ':path: /search/suggest?q=CP-310&section_id=predictive-search' -H ':scheme: https' -H 'accept: */*' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'cookie: localization=US; cart_currency=USD; _shopify_y=7e64b2eb-7d0a-49e0-b126-86895ed3d381; _shopify_s=34eee881-5a7a-4970-bd87-a39ab9ae66b5; _shopify_analytics=:AZzQys3yAAEAqY5f9pJRi1nr9cSMpbzy2f5Wz9dztLH6L61gk4u8Lijqpn1dSvxjVJc_KiM:; kaktusbotCurrentShownPerMonth=0; kaktusbotStartDatePerMonth=Mon%2C%2009%20Mar%202026%2004%3A11%3A19%20GMT; kaktusbotCurrentShownPerDay=0; kaktusbotStartDatePerDay=Mon%2C%20...",https://cpaddict.com/search/suggest?q={sku}&section_id=predictive-search | https://cpaddict.myshopify.com/api/2025-07/graphql.json,https://cpaddict.com/search?q={sku}&options%5Bprefix%5D=last,blocked,yes,no,yes,Bot challenge page
CR2 Performance & Fabrication,CR2 Performance & Fabrication,https://cr2fabrication.com/pages/contact,https://cr2fabrication.com/search?q={sku},CR2-10100,CR2-10100|CR2-25300|CR2-35801,0,3,CR2-10100:blocked(Bot challenge page) | CR2-25300:blocked(Bot challenge page) | CR2-35801:blocked(Bot challenge page),direct_template_get,review,2,,,,,,,,,GET,document,https://cr2fabrication.com/search?q={sku},,0,,,curl -X GET 'https://cr2fabrication.com/search?q=CR2-10100',,,,,,,,https://cr2fabrication.com/shopify_pay/accelerated_checkout | https://cr2fabrication.com/api/collect,https://cr2fabrication.com/,blocked,no,no,yes,No visible search input found
Crown Brake Lines,Crown Brake Lines,https://crownperformance.com/,https://crownperformance.com/search.php?search_query={sku},CROWN-GM77FR-00-CLE,CROWN-GM77FR-00-CLE|CROWN-FORD92FR-0-CLE|CROWN-FORD92FR-1-CLE,3,3,CROWN-GM77FR-00-CLE:search_results | CROWN-FORD92FR-0-CLE:search_results | CROWN-FORD92FR-1-CLE:search_results,direct_template_get,review,0,,,,,,,,,GET,document,https://crownperformance.com/search.php?search_query={sku},,0,,,curl -X GET 'https://crownperformance.com/search.php?search_query=CROWN-GM77FR-00-CLE',,,,,,,,,https://crownperformance.com/,unknown,no,no,yes,Unknown page type
CSF Radiators,CSF Radiators,https://csfradiators.com/,https://csfradiators.com/?s={sku},CSF-6076,CSF-6076|CSF-7062|CSF-7100,3,3,CSF-6076:search_results | CSF-7062:search_results | CSF-7100:search_results,hidden_form_get,review,1,,,,,,,,,GET,document,https://csfradiators.com/?s={sku},,0,,,curl -X GET 'https://csfradiators.com/?s=CSF-6076',,,,,,,,,https://csfradiators.com/,unknown,no,yes,yes,Unknown page type
Cummins Diesel Parts,Cummins Diesel Parts,https://parts.cummins.com/esn-entry/main,https://parts.cummins.com/global-search/main/{sku},DPP-12VB,DPP-12VB|CMNS-5594275|CMNS-6456801,0,3,DPP-12VB:unknown(Unknown page type) | CMNS-5594275:unknown(Unknown page type) | CMNS-6456801:unknown(Unknown page type),xhr_api,review,2,input#criteria,criteria,text,True,form#searchForm,,get,"button[name=""search""]",GET,document,https://parts.cummins.com/global-search/main/{sku},,0,,,curl -X GET https://parts.cummins.com/global-search/main/DPP-12VB,GET,https://parts.cummins.com/gateway/api/IACDataServices/protected/searchService/global?criteria={sku},,0,accept|accept-encoding|connection|cookie|host|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent|x-xsrf-token,XSRF-TOKEN=44b9cdad-67f9-4c33-8f0a-a1204796e14b; AUTH_TOKEN=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJJQUNfQVBJX0FDQ0VTU19UT0tFTiIsImlzcyI6Imh0dHBzOi8vcGFydHMuY3VtbWlucy5jb20vZ2F0ZXdheS9hdXRoIiwiaWF0IjoxNzczMDI5MzYwLCJleHAiOjE3NzMw...,"curl -X GET 'https://parts.cummins.com/gateway/api/IACDataServices/protected/searchService/global?criteria=DPP-12VB' -H 'accept: application/json, text/plain, */*' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'connection: keep-alive' -H 'cookie: XSRF-TOKEN=44b9cdad-67f9-4c33-8f0a-a1204796e14b; AUTH_TOKEN=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJJQUNfQVBJX0FDQ0VTU19UT0tFTiIsImlzcyI6Imh0dHBzOi8vcGFydHMuY3VtbWlucy5jb20vZ2F0ZXdheS9hdXRoIiwiaWF0IjoxNzczMDI5MzYwLCJleHAiOjE3NzMwMzI5NjAsInJvbGVzIjpbIlBVQkxJQyJdLCJhdWQiOlsie3A6aHR0cHxodHRwc306Ly8qLmN1bW1pbnMuY29tL2dhdGV3YXkvYXV0aC8qKiIsIntwOmh0dHB8aHR0cHN9Oi8vKi5jdW1taW5zLmNvbS9nYXRld2F5L2FwaS8qKiIsIntwOmh0dHB8aHR0cHN9Oi8vKi5jdW1taW5zLm...",https://parts.cummins.com/gateway/api/IACDataServices/protected/searchService/global?criteria={sku},https://parts.cummins.com/global-search/main/{sku},search_no_results,yes,no,no,Search returned no results
Custom Battery Cables,Custom Battery Cables,https://custombatterycables.com/,https://custombatterycables.com/?s={sku},CBC-781,CBC-781|CBC-6557|CBC-807,3,3,CBC-781:search_results | CBC-6557:search_results | CBC-807:search_results,hidden_form_get,review,2,,,,,,,,,GET,document,https://custombatterycables.com/?s={sku},,0,,,curl -X GET 'https://custombatterycables.com/?s=CBC-781',,,,,,,,https://custombatterycables.com/cdn-cgi/rum?,https://custombatterycables.com/,search_results,no,yes,yes,Search results page but SKU not visible in HTML (possible JS-rendered results)
Customs Unlimited,Customs Unlimited,https://customsunlimited.com/pages/about-us,https://customsunlimited.com/search?q={sku},CU-284-N-A13,CU-284-N-A13|CU-INL-STHF-800|CU-INL-STHF-1000,0,3,CU-284-N-A13:blocked(Bot challenge page) | CU-INL-STHF-800:blocked(Bot challenge page) | CU-INL-STHF-1000:blocked(Bot challenge page),xhr_api,review,1,input#header-search,q,search,True,form,/search,get,"button[type=""submit""]",GET,document,https://customsunlimited.com/search?q={sku},,200,,,curl -X GET 'https://customsunlimited.com/search?q=CU-284-N-A13',GET,"https://customsunlimited.com/search/suggest?q={sku}&resources%5Blimit%5D=10&resources%5Blimit_scope%5D=each&resources%5Boptions%5D%5Bfields%5D=title,product_type,variants.title,vendor,variants.sku,tag&section_id=predictive-search",,0,:authority|:method|:path|:scheme|accept|accept-encoding|cookie|priority|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent,localization=US; cart_currency=USD; _shopify_y=4629016b-1e07-499a-a567-a2ba993f243a; _shopify_s=0be4f840-f6f4-498a-802b-bf96cce8a91a; _shopify_analytics=:AZzQyvl1AAEAhooZnnNcBtgYZxDS6Q4ZywfRlfp_9iOe-vReuW8cYcMD9l_oLt-tz0tc9iY:; __kla_id=...,"curl -X GET 'https://customsunlimited.com/search/suggest?q=CU-284-N-A13&resources%5Blimit%5D=10&resources%5Blimit_scope%5D=each&resources%5Boptions%5D%5Bfields%5D=title,product_type,variants.title,vendor,variants.sku,tag&section_id=predictive-search' -H ':authority: customsunlimited.com' -H ':method: GET' -H ':path: /search/suggest?q=CU-284-N-A13&resources%5Blimit%5D=10&resources%5Blimit_scope%5D=each&resources%5Boptions%5D%5Bfields%5D=title,product_type,variants.title,vendor,variants.sku,tag&section_id=predictive-search' -H ':scheme: https' -H 'accept: */*' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'cookie: localization=US; cart_currency=USD; _shopify_y=4629016b-1e07-499a-a567-a2b...","https://customsunlimited.com/search/suggest?q={sku}&resources%5Blimit%5D=10&resources%5Blimit_scope%5D=each&resources%5Boptions%5D%5Bfields%5D=title,product_type,variants.title,vendor,variants.sku,tag&section_id=predictive-search | https://tr.snapchat.com/p | https://monorail-edge.shopifysvc.com/v1/produce | https://bff-api.automizely.com/personalization/public/graphql",https://customsunlimited.com/search?options%5Bprefix%5D=last&q={sku},blocked,yes,no,yes,Bot challenge page
D&J Precision Machine,D&J Precision Machine,https://djprecisionmachine.com/,https://djprecisionmachine.com/search?q={sku},DJ-DJPLB100076,DJ-DJPLB100076|DJ-DJPLB100078|DJ-DJPLB100077,0,3,DJ-DJPLB100076:blocked(Bot challenge page) | DJ-DJPLB100078:blocked(Bot challenge page) | DJ-DJPLB100077:blocked(Bot challenge page),xhr_api,review,2,input#Search-In-Modal-Single,q,search,True,"form[type=""[object HTMLInputElement]""]",/search,get,"button[type=""submit""]",GET,document,https://djprecisionmachine.com/search?q={sku},,200,,,curl -X GET 'https://djprecisionmachine.com/search?q=DJ-DJPLB100076',GET,https://djprecisionmachine.com/search/suggest?q={sku}&resources%5Btype%5D=product&resources%5Blimit%5D=3&section_id=predictive-search,,0,:authority|:method|:path|:scheme|accept|accept-encoding|cookie|priority|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent,localization=US; cart_currency=USD; _shopify_y=5eb75050-0214-498f-afa3-c4157fe14ff0; _shopify_s=0d646b81-e0bf-44e9-9343-c66d61860f61; _shopify_analytics=:AZzQyvqYAAEAD4aPbbaktZnVq0rbRZWTaX3e_KUVOA5Vs4jkEL1S-SBvUOb43C91g9hF3M0:; wc_visito...,"curl -X GET 'https://djprecisionmachine.com/search/suggest?q=DJ-DJPLB100076&resources%5Btype%5D=product&resources%5Blimit%5D=3&section_id=predictive-search' -H ':authority: djprecisionmachine.com' -H ':method: GET' -H ':path: /search/suggest?q=DJ-DJPLB100076&resources%5Btype%5D=product&resources%5Blimit%5D=3&section_id=predictive-search' -H ':scheme: https' -H 'accept: */*' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'cookie: localization=US; cart_currency=USD; _shopify_y=5eb75050-0214-498f-afa3-c4157fe14ff0; _shopify_s=0d646b81-e0bf-44e9-9343-c66d61860f61; _shopify_analytics=:AZzQyvqYAAEAD4aPbbaktZnVq0rbRZWTaX3e_KUVOA5Vs4jkEL1S-SBvUOb43C91g9hF3M0:; wc_visitor=161121-db024a3f-82e3-b1...",https://djprecisionmachine.com/search/suggest?q={sku}&resources%5Btype%5D=product&resources%5Blimit%5D=3&section_id=predictive-search | https://djprecisionmachine.com/shopify_pay/accelerated_checkout | https://data.securykit.com/api/visit/note | https://tr.snapchat.com/p,https://djprecisionmachine.com/search?q={sku}&options%5Bprefix%5D=last&type=product,blocked,yes,no,yes,Bot challenge page
Dana / Spicer,Dana / Spicer,https://www.dana.com/,https://www.dana.com/search/?q={sku},SPICER-SPL55-3X,SPICER-SPL55-3X|DANA-DS U-925,0,2,SPICER-SPL55-3X:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | DANA-DS U-925:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)),form_get,ok,3,input#site-search-side,q,text,True,form#header-search-form,/search/,get,"button[type=""submit""]",GET,document,https://www.dana.com/search/?q={sku},,200,,,curl -X GET 'https://www.dana.com/search/?q=SPICER-SPL55-3X',,,,,,,,https://dc.services.visualstudio.com/v2/track | https://www.dana.com/_didyoumean?query={sku}&size=3&hits_cutoff=208&tags=language%3Aen%7Clanguage%3A7D2DA0A9FC754533B091FA6886A51C0D%2Candquerymatch%2Csiteid%3Ac693d220-f58f-4158-ad94-9e761b5a12ce%7Csiteid%3A84BFAF5C52A349A0BC61A9FFB6983A66,https://www.dana.com/search/?q={sku},search_results,no,no,no,Search results page
Daystar,Daystar,https://daystarproducts.com/pages/dealer-locator,https://daystarproducts.com/search?q={sku},DAY-KU31001,DAY-KU31001|DAY-KU09140BK|DAY-KF04060BK,0,3,DAY-KU31001:blocked(Bot challenge page) | DAY-KU09140BK:blocked(Bot challenge page) | DAY-KF04060BK:blocked(Bot challenge page),form_get,review,1,"input[type=""text""]",,text,True,form,,get,,GET,document,https://daystarproducts.com/search?q={sku},,200,,,curl -X GET 'https://daystarproducts.com/search?q=DAY-KU31001',,,,,,,,https://daystarproducts.com/api/collect | https://9d38f3-44.myconvermax.com/search.json?query={sku}&pagesize=36&extra.pageid=152816976165&extra.country=us&extra.currency=usd&extra.currencyrate=1.0&extra.locale=en,https://daystarproducts.com/pages/search?query=DAY--KU31001,blocked,no,no,yes,Bot challenge page
"Deaver Spring, Inc.","Deaver Spring, Inc.",https://deaverspring.com/,https://deaverspring.com/?s={sku},DS-F58,DS-F58|DS-J24|DS-G7,0,3,DS-F58:blocked(Bot challenge page) | DS-J24:blocked(Bot challenge page) | DS-G7:blocked(Bot challenge page),hidden_form_get,review,2,,,,,,,,,GET,document,https://deaverspring.com/?s={sku},,0,,,curl -X GET 'https://deaverspring.com/?s=DS-F58',,,,,,,,,https://deaverspring.com/,blocked,no,yes,yes,No visible search input found
Dethloff,Dethloff Mfg,https://dethloffmfg.com/,https://dethloffmfg.com/?s={sku},DL-IG-19,DL-IG-19|DL-ARB-RB-BACKPLATE|DL-SG3500-14,3,3,DL-IG-19:search_results | DL-ARB-RB-BACKPLATE:search_results | DL-SG3500-14:search_results,direct_template_get,review,0,,,,,,,,,GET,document,https://dethloffmfg.com/?s={sku},,0,,,curl -X GET 'https://dethloffmfg.com/?s=DL-IG-19',,,,,,,,https://dethloffmfg.com/?wc-ajax=get_refreshed_fragments,https://dethloffmfg.com/,search_results,no,no,yes,Search results page but SKU not visible in HTML (possible JS-rendered results)
DiabloSport,DiabloSport,https://diablosportco.com/,https://diablosportco.com/?s={sku},DS-8145,DS-8145|DS-7103-D|DS-8200,3,3,DS-8145:search_results | DS-7103-D:search_results | DS-8200:search_results,hidden_form_get,review,1,,,,,,,,,GET,document,https://diablosportco.com/?s={sku},,0,,,curl -X GET 'https://diablosportco.com/?s=DS-8145',,,,,,,,,https://diablosportco.com/,search_results,no,yes,yes,Search results page but SKU not visible in HTML (possible JS-rendered results)
