vendor,display_name,official_website_status,official_website_url,sample_sku,search_url_template,search_result_mode,search_transport,search_parameter_name,platform_family,search_family,search_entry_mode,runtime_preference,http_search_allowed,browser_required,blocking_risk,verification_level,template_status,confidence_bucket,resolver_hint,product_fetch_mode,interaction_strategy,search_term_strategy,search_term_fallbacks,direct_url_sufficient,search_entry_url,search_container_selector,search_input_selector,search_submit_selector,result_container_selector,result_link_selector,result_match_mode,api_request_url_template,api_response_collection,api_result_id_field,api_result_sku_field,product_url_template,product_extraction_priority,media_strategy,notes
S&B,S&B,confirmed,https://sbfilters.com/,SB-832018,https://sbfilters.com/pages/search?query={sku},search_results,GET,query,generic_get_search,generic_query_search,direct_query_template,browser_first,conditional,yes,high,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: search-template fetch error: HTTP Error 429: Too Many Requests
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,probable,https://www.atxwheels.com/,AR-AR1726882,https://www.atxwheels.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: No visible search input found
Borne Off-Road,Borne Off-Road,probable,https://rogue-offroad.com/Borne-Off-Road_bymfg_275-0-1.html,BOR-BNSB-8,https://www.borne.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,browser_first,conditional,yes,high,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: Bot challenge page
Alpharex,Alpharex Performance Lighting,probable,https://alpharexusa.com/,ARX-880538,https://alpharexusa.com/search?type=product&options%5Bunavailable_products%5D=last&options%5Bprefix%5D=last&q={sku},search_results,GET,q,shopify,shopify_product_search,custom_route_template,browser_first,conditional,yes,high,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,results_page_clickthrough,drop_first_dash_token,,no,https://alpharexusa.com/,,,,body search results page,a[href*='/products/'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Confirmed manual search URL from site search UI. Existing note: Bot challenge page. March 14, 2026 live follow-up: exact ARX-* queries did not resolve on the current search stack; stripped numeric-tail queries returned results, but site result SKUs now surface as AHL/AXHL and ARX-810003 overmatched with 12 results. Keep out of the shared Shopify-suggest subgroup until stronger scoring or identifier bridging is added. | Use the standard Alpharex search results page, strip the leading ARX token before search, then click the first /products/ result and confirm on the detail page."
Irate Diesel Performance,Irate Diesel Performance,probable,https://www.iratediesel.com/about-us/,IDP-T4CMSSD,https://www.iratediesel.com/?s={sku},search_results,GET,s,wordpress_like,wordpress_s_query,direct_query_template,browser_first,conditional,yes,high,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: Bot challenge page
Mac's Custom Tie Downs,Mac's Custom Tie Downs,probable,https://www.macscustomtiedowns.com/,MAC-520215,https://www.macscustomtiedowns.com/search.aspx?ss={sku},search_results,GET,ss,aspnet_like,asp_search_ss,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_cleanup_from_browser_validation,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
ProActive Gears,ProActive Gears,probable,https://www.proactivegears.com/,PAG-21966,https://www.proactivegears.com/searchresults.asp?Search={sku}&Submit=,search_results,GET,Search,aspnet_like,custom_search,custom_route_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Aeroturbine,Aeroturbine,probable,https://www.aeroturbineparts.com/about/,AERO-AR20,https://aeroexhaust.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_user_seed_cross_domain,http_first,results_page_clickthrough,identity,,no,https://aeroexhaust.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search route on vendor domain: https://aeroexhaust.com/search.html?q={sku}. | Use exact SKU as-is on the BigCommerce search results page and click the first /i-... result link.
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,probable,https://bdpshop.com/,BDP-280003,https://bdpshop.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://bdpshop.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading BDP token before search, then click the first scored searchid result."
Calibrated Power,Calibrated Power,probable,https://duramaxtuner.com/,CP-03046LPS,https://duramaxtuner.com/search.html?Search={sku},search_results,GET,Search,bigcommerce_like,path_or_query_search,custom_route_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,results_page_clickthrough,drop_first_dash_token,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Centerforce Performance Clutch,Centerforce Performance Clutch,probable,https://www.centerforce.com/,CFC-N1774,https://www.centerforce.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://www.centerforce.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Confirmed manual search URL from site search UI. Existing note: Search results page | Strip the leading vendor token before search, then click the first /i-... result link on the BigCommerce results page."
Clutch Masters,Clutch Masters,probable,https://clutchmasters.com/,CM-05CM2-TD12R-S,https://clutchmasters.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,results_page_clickthrough,identity,,no,https://clutchmasters.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: Search returned no results | Use exact SKU as-is and click the first /i-... result on the BigCommerce results page.
ComeUp Winch,ComeUp Winch,probable,https://www.comeupwinch.com/,CU-295620,https://comeupwinch.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Crown Brake Lines,Crown Brake Lines,confirmed,https://crownperformance.com/,CROWN-GM77FR-00-CLE,https://crownperformance.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://crownperformance.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading CROWN token before search, then click the first scored searchid result from the BigCommerce results page."
DuramaxTuner.com,DuramaxTuner.com,probable,https://duramaxtuner.com/,DT-CPS200340,https://duramaxtuner.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://duramaxtuner.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading DT token before search, then click the first /i-... result link."
Flyin Diesel,Flyin Diesel,probable,https://flyindiesel.com/,FD-5967-BLACK,https://flyindiesel.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,results_page_clickthrough,drop_first_dash_token,drop_first_dash_token>drop_last_dash_segment,no,https://flyindiesel.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Confirmed manual search route: https://flyindiesel.com/search.html?q={sku}. | Strip the leading FD token first; if no result, also drop the trailing dash segment to reach the base part number, then click the first /i-... result."
Fuelab,Fuelab,probable,https://fuelab.com/,FL-50102,https://fuelab.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://fuelab.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Confirmed manual search route: https://fuelab.com/search.html?q={sku}. | Strip the leading FL token before search, then click the first /i-... result link on the BigCommerce results page."
Injen Technology,Injen Technology,probable,https://injen.com/,INJ-EVO7008,https://injen.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://injen.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading INJ token before search, then click the first /i-... result link."
Longhorn Fab Shop,Longhorn Fab Shop,probable,https://longhornfabshop.com/,LFS-201051,https://longhornfabshop.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,identity,drop_first_dash_token,no,https://longhornfabshop.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Treat Longhorn as a BigCommerce clickthrough vendor with a safe fallback chain: try the incoming search term as-is first, then retry without the leading vendor token when the sheet or Shopify cache provides an LFS-prefixed SKU."
Mechman Alternators,Mechman Alternators,probable,https://www.mechman.com/,MECH-7796240,https://www.mechman.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://www.mechman.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Use the standard BigCommerce results page, strip the leading vendor token before search, then click the first scored searchid result."
Merchant Automotive,Merchant Automotive,probable,https://www.merchant-automotive.com/,MA-10813,https://www.merchant-automotive.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,custom_route_template,browser_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
PacBrake,PacBrake,confirmed,https://pacbrake.com/,PB-C11342,https://pacbrake.com/search.html?Search={sku},search_results,GET,Search,bigcommerce_like,path_or_query_search,custom_route_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
PML Covers,PML Covers,probable,https://pmlgarage.com/,PML-9393-B,https://yourcovers.com/search.html?Search={sku},search_results,GET,Search,bigcommerce_like,path_or_query_search,custom_route_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed_cross_domain,http_first,results_page_clickthrough,drop_first_dash_token,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search route on vendor domain: https://yourcovers.com/search.html?Search={sku}.
Revolution Gear & Axle,Revolution Gear & Axle,confirmed,https://revolutiongear.com/,D70-373,https://revolutiongear.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Rock Krawler,Rock Krawler,confirmed,https://rockkrawler.com/,RK-RK02542,https://rockkrawler.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://rockkrawler.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading vendor token before search, then click the first scored searchid result on the BigCommerce results page."
Rotomaster,Rotomaster,confirmed,https://rotomaster.com/,ROT-H1350212N,https://rotomaster.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://rotomaster.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Prefer the post-prefix term on Rotomaster, then click the first scored searchid result."
Royalty Core,Royalty Core,confirmed,https://www.royaltycore.com/,RC-15966,https://www.royaltycore.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_html_form_discovery,http_first,results_page_clickthrough,identity,drop_first_dash_token,no,https://www.royaltycore.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Validated from https://www.royaltycore.com/search-2.html. Site exposes a GET form action https://www.royaltycore.com/search.html with input name q, producing results URLs like https://www.royaltycore.com/search.html?q={sku}. | Try exact SKU first; if no result, strip the leading vendor token and retry, then click the first /i-... result."
SoCal SuperTrucks,SoCal SuperTrucks,confirmed,https://socalsupertrucks.com/,SS-200215,https://socalsupertrucks.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://socalsupertrucks.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading SS token before search, then click the first scored searchid result."
Tork Teknology,Tork Teknology,confirmed,https://www.torkteknology.com/,DPP-BBS010,https://www.torkteknology.com/search.php?search_query={sku},search_results,GET,search_query,bigcommerce_like,bigcommerce_search_php_query,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://www.torkteknology.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Strip the leading DPP token before search, then click the first scored searchid result."
ZROADZ,ZROADZ,confirmed,https://zroadz.com/,ZRZ-Z325472,https://zroadz.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_bigcommerce_form_validation,http_first,results_page_clickthrough,drop_first_dash_token,,no,https://zroadz.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,jsonld>embedded_state>dom,gallery_scope_only,"Browser-validated search route; sample SKU returned a no-results page. | Strip the leading ZRZ token before search, then click the first /i-... result link on the BigCommerce results page."
FASS Fuel Systems,FASS Fuel Systems,confirmed,https://www.fassride.com/,DDP-RK-04,https://shop.fassride.com/Products/Search?search={sku},search_results,GET,search,custom_api,json_product_search,json_api_search,http_first,yes,no,low,verified,confirmed,high,manual_json_api_id_detail,http_first,json_api_id_detail,,,no,https://www.fassride.com/,.midway-search-input-container,input#search-field,,.search-box,a.link[href^='/details/'],exact_partNumber_then_normalized_then_best_scored,https://shop.fassride.com/Products/Search?search={sku},products,id,partNumber,https://www.fassride.com/details?id={id},jsonld>embedded_state>dom,gallery_scope_only,"Validated against the live Midway widget. The popup search uses input#search-field inside .midway-search-input-container and calls GET https://shop.fassride.com/Products/Search?search={sku}. Use the JSON products[] hit, score by partNumber, then build https://www.fassride.com/details?id={id}. The raw search endpoint alone is not sufficient for prefixed alias SKUs because it can return fuzzy matches. | Prefer API-first search -> score JSON products by partNumber -> build details?id={id}. Popup anchor confirms the same id-based detail route."
Accutrim,Accutrim,confirmed,https://www.accu-trim.com/,AF-928,https://accu-trim.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe_with_playwright,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Adams Driveshaft & Offroad,Adams Driveshaft & Offroad,confirmed,https://www.adamsdriveshaftoffroad.com/,ADAMS-RAM-1350F-5GEN,https://www.adamsdriveshaftoffroad.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,confirmed,https://aev-conversions.com/,AEV-N0340000AB,https://aev-conversions.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Air Lift Company,Air Lift Company,confirmed,https://www.airliftcompany.com/,AL-57399,https://airliftcompany.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe_with_playwright,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Artec Industries,Artec Industries,probable,https://artecindustries.com/,ARTEC-TR1101,https://artecindustries.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
ATS Diesel Performance,ATS Diesel Performance,confirmed,https://atsdiesel.com/,ATS-1039093278,https://atsdiesel.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Axiom Supply,Axiom Supply,probable,https://axiomsupply.com/,AXS-AXTL03,https://axiomsupply.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Banks Power,Banks Power,confirmed,https://bankspower.com/,BAN-25987,https://bankspower.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
BDS Suspension,BDS Suspension,confirmed,https://bds-suspension.com/,BDS-189H,https://bds-suspension.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Big Days,Big Days,probable,https://big-days.com/collections/accessories,BND-R1000,https://big-days.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Bitterroot Diesel Performance,Bitterroot Diesel Performance,probable,https://bitterrootdiesel.com/,BDP-ZF6BOOTAMACH,https://bitterrootdiesel.com/search?q={sku}&type=product,search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Blend Door USA,Blend Door USA,confirmed,https://www.blenddoorusa.com/,BDUSA-5DR,https://www.blenddoorusa.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
BuiltRight Industries,BuiltRight Industries,probable,https://builtrightind.com/,BRI-104012,https://builtrightind.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
BulletProof Diesel,BulletProof Diesel,probable,https://bulletproofdiesel.com/,BPD-6700001,https://bulletproofdiesel.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
