success_priority,vendor,display_name,official_website_status,official_website_url,sample_sku,search_url_template,search_template_status,search_result_mode,platform_family,search_family,transport,parameter_name,confidence_bucket,browser_required_hint,blocking_hint,resolver_hint,review_notes
0-0-0,No Limit Fabrication,No Limit Fabrication,confirmed,https://nolimitfabrication.com/,NL-67OP,https://nolimitfabrication.com/search.html?q={sku},confirmed,search_results,partslogic,partslogic_search_redirect,GET,q,high,no,,manual_results_page_clickthrough,"Validated against the live Partslogic storefront. The homepage widget uses input#sui-search-bar-input inside #pl-search-bar-container, but the stronger runtime path is direct GET /search.html?q={sku}. That results page returns /i-... product links for queries like 67OP, so treat it as a results-page clickthrough resolver rather than a popup-only search."
0-0-0,OLM Lighting,OLM Lighting,confirmed,https://olm.com/,OLM-OLME.16016.1,https://olm.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,PacBrake,PacBrake,confirmed,https://pacbrake.com/,PB-C11342,https://pacbrake.com/search.html?Search={sku},confirmed,search_results,bigcommerce_like,path_or_query_search,GET,Search,high,no,,playwright_search_submit,
0-0-0,PMF Suspension,PMF Suspension,confirmed,https://www.pmfsuspension.com/,PMF-FRD-5004,https://www.pmfsuspension.com/search.asp?keyword={sku},confirmed,search_results,3dcart_like,searchasp_keyword,GET,keyword,high,no,http_403,manual_results_page_clickthrough,"Known results-page search route; direct fetch is currently blocked here by Cloudflare 403, but first result is typically the target product."
0-0-0,PPE (Pacific Performance Eng.),PPE (Pacific Performance Eng.),confirmed,https://ppepower.com/,PPE-1110100,https://ppepower.com/search?type=product%2Cpage%2Carticle%2Ccollection&options%5Bunavailable_products%5D=show&options%5Bprefix%5D=last&q={sku},confirmed,search_results,shopify,shopify_product_search,GET,q,high,no,,playwright_search_submit,
0-0-0,ReadyLIFT Suspension,ReadyLIFT Suspension,confirmed,https://www.readylift.com/,RL-69-4630,https://www.readylift.com/catalogsearch/result/?cat=2&q={sku},confirmed,search_results,magento,magento_catalogsearch,GET,q,high,no,,playwright_search_submit,
0-0-0,Rock Krawler,Rock Krawler,confirmed,https://rockkrawler.com/,RK-RK02542,https://rockkrawler.com/search.php?search_query={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_php_query,GET,search_query,high,no,,playwright_search_submit,
0-0-0,RockJock,RockJock,confirmed,https://www.rockjock4x4.com/,RJ-CE-9114,https://www.rockjock4x4.com/search?keywords={sku},confirmed,search_results,custom,generic_keyword_search,GET,keywords,high,no,,playwright_search_submit,
0-0-0,RokBlokz,RokBlokz Mud Flaps,confirmed,https://rokblokz.com/,RKB-F17SRW-BK-BK,https://rokblokz.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Royalty Core,Royalty Core,confirmed,https://www.royaltycore.com/,RC-15966,https://www.royaltycore.com/search.html?q={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_html_q,GET,q,high,no,,manual_html_form_discovery,"Validated from https://www.royaltycore.com/search-2.html. Site exposes a GET form action https://www.royaltycore.com/search.html with input name q, producing results URLs like https://www.royaltycore.com/search.html?q={sku}."
0-0-0,S&B,S&B,confirmed,https://sbfilters.com/,SB-832018,https://sbfilters.com/pages/search?query={sku},confirmed,search_results,generic_get_search,generic_query_search,GET,query,high,yes,http_429,manual_user_seed,Confirmed manual search URL from site search UI. Existing note: search-template fetch error: HTTP Error 429: Too Many Requests
0-0-0,S&S Diesel Motorsport,S&S Diesel Motorsport,confirmed,https://ssdiesel.com/,SSDM-67F-DCR-1,https://ssdiesel.com/?s={sku},confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,manual_wordpress_search_validation,
0-0-0,Sinister Diesel,Sinister Diesel,confirmed,https://sinisterdiesel.com/,SD-OC-6.0,https://sinisterdiesel.com/shop?Search={sku},confirmed,search_results,custom,path_or_query_search,GET,Search,high,no,,manual_form_action_validation,
0-0-0,Smeding Diesel,Smeding Diesel,confirmed,https://www.smedingdiesel.com/,SME-C6762EDRT,https://www.smedingdiesel.com/search?q={sku}&options%5Bprefix%5D=last,confirmed,search_results,shopify,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Snow Performance,Snow Performance,confirmed,https://www.snowperformance.net/,SP-430,https://www.nitrousexpress.com/search.asp?search_prod={sku},confirmed,search_results,custom,product_search_search_prod,GET,search_prod,high,no,,playwright_search_submit,
0-0-0,Snyder Performance Engineering,Snyder Performance Engineering,confirmed,https://www.spemotorsport.com/,SPE-67HTFK,https://www.spemotorsport.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,SoCal SuperTrucks,SoCal SuperTrucks,confirmed,https://socalsupertrucks.com/,SS-200215,https://socalsupertrucks.com/search.php?search_query={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_php_query,GET,search_query,high,no,,playwright_search_submit,
0-0-0,South Bend Clutch,South Bend Clutch,confirmed,https://southbendclutch.com/,SBC-0090,https://southbendclutch.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,SpynTec Industries,SpynTec Industries,confirmed,https://spyntec.com/,SAST-D09S,https://spyntec.com/?s={sku},confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,manual_wordpress_search_validation,
0-0-0,SSBC-USA,SSBC-USA,confirmed,https://ssbc-usa.com/,SSBC-10126,https://ssbc-usa.com/search?type=product&q={sku},confirmed,search_results,custom,shopify_product_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Sulastic Rubber Springs,Sulastic Rubber Springs,confirmed,https://sulastic.com/en/,SUL-SC-15,https://sulastic.com/en/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,SunCoast Performance,SunCoast Performance,confirmed,https://suncoastdiesel.com/,SC-68-1,https://suncoastdiesel.com/search-diesel.html?orientation=vertical&q={sku},confirmed,search_results,custom,path_or_query_search,GET,q,high,yes,hidden_or_missing_search_ui,manual_user_seed,Confirmed manual search URL from site search UI. Existing note: No visible search input found
0-0-0,SuperSprings,SuperSprings,confirmed,https://superspringsinternational.com/,SS-SSA22,https://superspringsinternational.com/?s={sku}&id=5023383376,confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,playwright_search_submit,
0-0-0,Suspension MAXX,Suspension MAXX,confirmed,https://suspensionmaxx.com/,SMX-2535,https://suspensionmaxx.com/catalog?search_api_fulltext={sku},confirmed,search_results,custom,drupal_search_api,GET,search_api_fulltext,high,no,,playwright_search_submit,
0-0-0,Synergy Manufacturing,Synergy Manufacturing,confirmed,https://www.synergymfg.com/,SYN-8581,https://www.synergymfg.com/?target=search&mode=search&substring={sku},confirmed,search_results,custom,substring_search,GET,substring,high,no,,playwright_search_submit,
0-0-0,T-Rex Grilles,T-Rex Grilles,confirmed,https://trexbillet.com/,TREX-51211,https://trexbillet.com/search.html?q={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_html_q,GET,q,high,yes,http_405,manual_bigcommerce_form_validation,Browser-validated search route; direct HTTP may hit human verification/405.
0-0-0,Toolbox Widget,Toolbox Widget,confirmed,https://toolboxwidget.com/,TBW-VW15,https://toolboxwidget.com/search?q={sku}&options%5Bprefix%5D=last,confirmed,search_results,shopify,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Tork Teknology,Tork Teknology,confirmed,https://www.torkteknology.com/,DPP-BBS010,https://www.torkteknology.com/search.php?search_query={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_php_query,GET,search_query,high,no,,playwright_search_submit,
0-0-0,Trigger Wireless Accessory Controller,Trigger Wireless Accessory Controller,confirmed,https://triggercontroller.com/,AAC-2100,https://triggercontroller.com/?s={sku},confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,playwright_search_submit,
0-0-0,Turbo Time USA,Turbo Time USA,confirmed,https://turbotimeusa.com/,TTP-LB-VGT-60,https://turbotimeusa.com/search?type=product%2Carticle%2Cpage&q={sku},confirmed,search_results,custom,shopify_product_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Volant,Volant,confirmed,https://volant.com/,VOL-35066,https://volant.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Wehrli Custom Fabrication,Wehrli Custom Fabrication,confirmed,https://www.wcfab.com/,WCF-WCF100165-GB,https://www.wcfab.com/search.html?q={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_html_q,GET,q,high,yes,http_405,manual_bigcommerce_form_validation,Browser-validated search route; direct HTTP may hit human verification/405.
0-0-0,"Wilwood Engineering, Inc.","Wilwood Engineering, Inc.",confirmed,https://wilwood.com/,WIL-220-9811,https://wilwood.com/Search/PartNoSearch?q={sku},confirmed,search_results,generic_get_search,part_number_search,GET,q,high,no,,playwright_search_submit,
0-0-0,XS Power,XS Power,confirmed,https://4xspower.com/,XS-580,https://4xspower.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,manual_shopify_search_validation,Search route validated; sample SKU returned a no-results page.
0-0-0,ZROADZ,ZROADZ,confirmed,https://zroadz.com/,ZRZ-Z325472,https://zroadz.com/search.html?q={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_html_q,GET,q,high,no,,manual_bigcommerce_form_validation,Browser-validated search route; sample SKU returned a no-results page.
0-1-1,Accutrim,Accutrim,confirmed,https://www.accu-trim.com/,AF-928,https://accu-trim.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe_with_playwright,
0-1-1,Air Lift Company,Air Lift Company,confirmed,https://www.airliftcompany.com/,AL-57399,https://airliftcompany.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe_with_playwright,
0-1-1,Cometic Gaskets,Cometic Gaskets,confirmed,https://www.cometic.com/,COM-C4514,https://cometic.com/products/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe_with_playwright,
0-1-1,Crown Brake Lines,Crown Brake Lines,confirmed,https://crownperformance.com/,CROWN-GM77FR-00-CLE,https://crownperformance.com/search.php?search_query={sku},probed,search_results,bigcommerce_like,bigcommerce_search_php_query,GET,search_query,medium,no,,common_template_probe,
0-1-1,H&S Motorsports,H&S Motorsports,confirmed,https://hsmotorsports.com/,HS-121003,https://hsmotorsports.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe_with_playwright,
0-1-1,ISSPRO,ISSPRO,confirmed,https://isspro.com/,ISS-R8912,https://isspro.com/Search/PartNoSearch?q={sku},probed,search_results,generic_get_search,part_number_search,GET,q,medium,no,,common_template_probe,
0-1-1,MBRP Exhaust,MBRP Exhaust,confirmed,https://mbrpexhauststore.com/,MBRP-T5156,https://mbrpexhauststore.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe_with_playwright,
0-1-1,Morimoto,Morimoto,confirmed,https://www.morimotohid.com/,MOR-LF553,https://morimotohid.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe_with_playwright,
0-1-1,Red-Head Steering Gears Inc.,Red-Head Steering Gears Inc.,confirmed,https://redheadsteeringgears.com/,RH-2773,https://redheadsteeringgears.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe,
0-1-1,Rotomaster,Rotomaster,confirmed,https://rotomaster.com/,ROT-H1350212N,https://rotomaster.com/search.php?search_query={sku},probed,search_results,bigcommerce_like,bigcommerce_search_php_query,GET,search_query,medium,no,,common_template_probe,
0-1-1,Schaeffer's Lubricants,Schaeffer's Lubricants,confirmed,https://www.schaefferoil.com/,SL-0219,https://schaefferoil.com/search?q={sku},probed,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,common_template_probe,
0-1-1,Total Seal Piston Rings,Total Seal Piston Rings,confirmed,https://www.totalseal.com/,TSPR-S4194,https://totalseal.com/search?query={sku},probed,search_results,generic_get_search,generic_query_search,GET,query,medium,no,,common_template_probe,
0-1-1,Valair Clutch,Valair Clutch,confirmed,https://valairinc.com/,V-2130,https://valairinc.com/?s={sku},probed,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,common_template_probe,
0-2-1,4x4 Posi-Lok,4x4 Posi-Lok,confirmed,https://4x4posi-lok.com/,PSL-100,https://4x4posi-lok.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Adams Driveshaft & Offroad,Adams Driveshaft & Offroad,confirmed,https://www.adamsdriveshaftoffroad.com/,ADAMS-RAM-1350F-5GEN,https://www.adamsdriveshaftoffroad.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Alliant Power,Alliant Power,confirmed,https://alliantpower.com/,AP-AP0015,https://alliantpower.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Baja Designs Offroad LED Lights,Baja Designs Offroad LED Lights,confirmed,https://www.bajadesigns.com/,BD-107004,https://www.bajadesigns.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Banks Power,Banks Power,confirmed,https://bankspower.com/,BAN-25987,https://bankspower.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,BDS Suspension,BDS Suspension,confirmed,https://bds-suspension.com/,BDS-189H,https://bds-suspension.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Carli Suspension,Carli Suspension,confirmed,https://www.carlisuspension.com/,CS-FLC-05,https://www.carlisuspension.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Fleece Performance Engineering,Fleece Performance Engineering,confirmed,https://www.fleeceperformance.com/,FPE-CP3X2,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},detected,search_results,magento,magento_catalogsearch,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,FOX Shocks,FOX Shocks,confirmed,https://ridefox.com/,FOX-98502127,https://ridefox.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,ICON Alloys,ICON Alloys,confirmed,https://iconvehicledynamics.com/collections/wheel,IA-192050,https://iconvehicledynamics.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,.com tld; vendor key present in result text; deep path candidate
0-2-1,ICON Vehicle Dynamics,ICON Vehicle Dynamics,confirmed,https://iconvehicledynamics.com/,ICON-37024,https://iconvehicledynamics.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,KC Turbos,KC Turbos,confirmed,https://kcturbos.com/,KC-300365,https://kcturbos.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Mel's Manufacturing,Mel's Manufacturing,confirmed,https://www.melsmfg.com/,MEL-6185,https://www.melsmfg.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,.com tld; vendor key present in result text; deep path candidate
0-2-1,Mishimoto,Mishimoto,confirmed,https://www.mishimoto.com/,MISH-R1553,https://www.mishimoto.com/catalogsearch/result/?q={sku},detected,search_results,magento,magento_catalogsearch,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Performance Diesel Inc.,Performance Diesel Inc.,confirmed,https://pdidiesel.com/,PDI-3466CR,https://pdidiesel.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,.com tld; vendor key present in result text; root path
0-2-1,Realtruck Superlift Suspension,RealTruck SuperLift Suspension,confirmed,https://realtruck.com/b/superlift/,RT-146,https://realtruck.com/search/?q={sku},detected,search_results,custom,path_or_query_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Rev-X Oil & Fuel Additive,Rev-X Oil & Fuel Additive,confirmed,https://revxoil.com/,Rev-X-0400,https://revxoil.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Revolution Gear & Axle,Revolution Gear & Axle,confirmed,https://revolutiongear.com/,D70-373,https://revolutiongear.com/search.php?search_query={sku},detected,search_results,bigcommerce_like,bigcommerce_search_php_query,GET,search_query,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Rigid Industries,Rigid Industries,confirmed,https://www.rigidindustries.com/,RIGID-40200,https://www.rigidindustries.com/catalogsearch/result/index/?q={sku},detected,search_results,magento,magento_catalogsearch,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Rock Slide Engineering,Rock Slide Engineering,confirmed,https://rockslideengineering.com/,RSE-RS-910,https://rockslideengineering.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Rock Tamers Mud Flaps,Rock Tamers Mud Flaps,confirmed,https://rocktamers.com/,RT-00108,https://rocktamers.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,SCT,SCT,confirmed,https://sctflash.com/,SCT-9817,https://sctflash.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,SDHQ Off Road,SDHQ Off Road,confirmed,https://sdhqoffroad.com/,SDHQ-10-1131-G4,https://sdhqoffroad.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Skyjacker Suspension,Skyjacker Suspension,confirmed,https://skyjacker.com/,SKY-D25,https://skyjacker.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form_with_playwright,
0-2-1,sPOD,sPOD Switch Pods,confirmed,https://www.4x4spod.com/,,https://4x4spod.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Sprint Booster,Sprint Booster,confirmed,https://www.sprintboosterusa.com/,SBDO1003S,https://www.sprintboosterusa.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,SteerSmarts,SteerSmarts,confirmed,https://steersmarts.com/,SS-714001,https://steersmarts.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Switch-Pros,Switch-Pros,confirmed,https://www.switchpros.com/,SP-SP9100BEZEL,https://www.switchpros.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form_with_playwright,
0-2-1,Timbren,Timbren,confirmed,https://timbren.com/,TB-DR250,https://timbren.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,TS Performance,TS Performance,confirmed,https://www.tsperformanceofficial.com/,TS-1290301,/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Tuffy Security,Tuffy Security,confirmed,https://tuffyproducts.com/,TFY-354-01,https://tuffyproducts.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Turbosmart,Turbosmart,confirmed,https://www.turbosmart.com/,TS-0304-1002,https://www.turbosmart.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,USA Standard Gear,USA Standard Gear,confirmed,https://www.usastandardgear.com/,USG-ZSG7616,https://www.usastandardgear.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Weigh Safe,Weigh Safe,confirmed,https://www.weigh-safe.com/,WSF-WS05,https://www.weigh-safe.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Yukon Gear & Axle,Yukon Gear & Axle,confirmed,https://www.yukongear.com/,YUK-YGK058,https://www.yukongear.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Zone Offroad Suspension,Zone Offroad Suspension,confirmed,https://zoneoffroad.com/,ZON-D9,https://zoneoffroad.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Zumbrota Drivetrain,Zumbrota Drivetrain,confirmed,https://www.zumbrotadrivetrain.com/,ZUM-RTC241DHD-7,https://www.zumbrotadrivetrain.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-3-2,ATI Performance Products,ATI Performance Products,confirmed,https://www.atiracing.com/,ATI-917365,https://atiracing.com/search-results.htm?cx=017413898382317320130:lggw7qy_yqk&cof=FORID:11&q={sku},probable,custom_search,custom,path_or_query_search,GET,q,review,no,,manual_user_seed + html_form_detection,
1-0-0,ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,probable,https://www.addictivedesertdesigns.com/,ADD-AC8101801NA,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},confirmed,search_results,shopify,shopify_product_search,GET,q,high,no,,manual_user_seed,
1-0-0,ADS Shocks,ADS Shocks,probable,https://www.adsshocks.com/,ADS-100ADS-10084,https://www.adsshocks.com/search/?q={sku},confirmed,search_results,custom,path_or_query_search,GET,q,high,no,,manual_user_seed,
1-0-0,Aeroturbine,Aeroturbine,probable,https://www.aeroturbineparts.com/about/,AERO-AR20,https://aeroexhaust.com/search.html?q={sku},confirmed,search_results,bigcommerce_like,bigcommerce_search_html_q,GET,q,high,no,,manual_user_seed_cross_domain,Confirmed manual search route on vendor domain: https://aeroexhaust.com/search.html?q={sku}.
1-0-0,Airaid,Airaid,probable,https://www.airaid.com/,AIR-300-128,https://www.airaid.com/search/{sku},confirmed,search_results,wordpress_like,wordpress_search_path,GET,,high,no,http_403,manual_user_seed,Path-style search URL confirmed manually from site search UI. Existing note: search-template fetch error: HTTP Error 403: Forbidden
1-0-0,Alpharex,Alpharex Performance Lighting,probable,https://alpharexusa.com/,ARX-810003,https://alpharexusa.com/search?type=product&options%5Bunavailable_products%5D=last&options%5Bprefix%5D=last&q={sku},confirmed,search_results,shopify,shopify_product_search,GET,q,high,yes,bot_challenge,manual_user_seed,Confirmed manual search URL from site search UI. Existing note: Bot challenge page
