vendor,display_name,interaction_strategy,search_term_strategy,search_term_fallbacks,direct_url_sufficient,search_entry_url,search_container_selector,search_input_selector,search_submit_selector,result_container_selector,result_link_selector,result_match_mode,api_request_url_template,api_response_collection,api_result_id_field,api_result_sku_field,product_url_template,validation_sample_skus,validation_summary,notes
DuramaxTuner.com,DuramaxTuner.com,results_page_clickthrough,drop_first_dash_token,,no,https://duramaxtuner.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,DT-CPS200340|DT-DM1361070080900,"March 14, 2026 2-sample runtime validation showed 2/2 DuramaxTuner SKUs resolving after stripping the leading DT prefix. Exact prefixed searches missed or returned unrelated results.","Strip the leading DT token before search, then click the first /i-... result link."
Flyin Diesel,Flyin Diesel,results_page_clickthrough,drop_first_dash_token,drop_first_dash_token>drop_last_dash_segment,no,https://flyindiesel.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,FD-5967-BLACK|FD-5967-STAINLESS,"March 14, 2026 2-sample runtime validation showed Flyin Diesel SKUs resolving when the FD prefix is stripped first. Color-suffix variants like FD-5967-BLACK recover when the trailing color segment is also dropped, leaving just the base part number.","Strip the leading FD token first; if no result, also drop the trailing dash segment to reach the base part number, then click the first /i-... result."
Fuelab,Fuelab,results_page_clickthrough,drop_first_dash_token,,no,https://fuelab.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,FL-50102|FL-50101,"March 14, 2026 2-sample runtime validation showed 2/2 Fuelab SKUs resolving after stripping the leading FL prefix. Exact prefixed searches returned zero results.","Strip the leading FL token before search, then click the first /i-... result link on the BigCommerce results page."
Injen Technology,Injen Technology,results_page_clickthrough,drop_first_dash_token,,no,https://injen.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,INJ-EVO7008|INJ-EVO7009,"March 14, 2026 2-sample runtime validation showed 2/2 Injen SKUs resolving after stripping the leading INJ prefix. Exact prefixed queries returned no matching results.","Strip the leading INJ token before search, then click the first /i-... result link."
Royalty Core,Royalty Core,results_page_clickthrough,identity,drop_first_dash_token,no,https://www.royaltycore.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,RC-15966|ROC-13777,"March 14, 2026 runtime validation showed RC-prefixed SKUs resolving via identity search. ROC-prefixed SKUs were a partial pass; drop_first_dash_token is included as a fallback for alternate-prefix inventory.","Try exact SKU first; if no result, strip the leading vendor token and retry, then click the first /i-... result."
ZROADZ,ZROADZ,results_page_clickthrough,drop_first_dash_token,,no,https://zroadz.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,ZRZ-Z325472|ZRZ-Z325472-KIT,"March 14, 2026 2-sample runtime validation showed 2/2 ZROADZ SKUs resolving after stripping the leading ZRZ prefix. Exact prefixed searches returned zero results or empty pages.","Strip the leading ZRZ token before search, then click the first /i-... result link on the BigCommerce results page."
Borgeson,Borgeson,results_page_clickthrough,identity,,yes,https://www.borgeson.com/,,,,,,,,,,,,BG-800123|BG-800328,"March 14, 2026 runtime probe showed 2/2 Borgeson SKUs resolving via X-Cart substring search with exact identity term. The search results page contains product data directly; no clickthrough required.",Use exact SKU as-is on the X-Cart substring search URL. The search results page returns extractable product data without needing to click a result link.
Fumoto Engineering,Fumoto Engineering,results_page_clickthrough,identity,,yes,https://www.fumotousa.com/,,,,,,,,,,,,F-104|F-106,"March 14, 2026 runtime probe showed 2/2 Fumoto SKUs resolving via X-Cart substring search with exact identity term. Direct URL sufficient; product data extracted from search results page.",Use exact SKU as-is on the X-Cart substring search URL. No clickthrough needed.
Synergy Manufacturing,Synergy Manufacturing,results_page_clickthrough,identity,,yes,https://www.synergymfg.com/,,,,,,,,,,,,SYN-8581|SYN-8734-20,"March 14, 2026 runtime probe showed 2/2 Synergy SKUs resolving via X-Cart substring search with exact identity term. Direct URL sufficient.",Use exact SKU as-is on the X-Cart substring search URL. No clickthrough needed.
"Wilwood Engineering, Inc.","Wilwood Engineering, Inc.",results_page_clickthrough,drop_first_dash_token,,no,https://wilwood.com/,,,,body search results page,a[href*='itemno='],first_result,,,,,,WIL-220-9811|WIL-140-13874-R,"March 14, 2026 runtime probe showed 2/2 Wilwood SKUs resolving after stripping the leading WIL prefix. Product links follow the /LineKits/LineKitsProd.aspx?itemno={part} URL pattern.","Strip the leading WIL token before search, then click the first itemno= result link on the PartNoSearch results page."
ISSPRO,ISSPRO,results_page_clickthrough,drop_first_dash_token,,no,https://isspro.com/Search/PartNoSearch?q={sku},,,,,a[href*='/aftermarket/'][href$='.html'],first_result,,,,,,ISS-R12503|ISS-R8912,"March 14, 2026 runtime validation showed 2/2 pages scraped (partial) via browser. Product URLs follow /aftermarket/{slug}.html pattern. Core data 1/2 complete due to redirect to category-level pages for some searches.",isspro.com product URLs are /aftermarket/{slug}.html (with .html). Category links lack .html. Browser-first required (JS-rendered results). Strip ISS- prefix before search.
Power Driven Diesel,Power Driven Diesel,results_page_clickthrough,drop_first_dash_token,,no,https://powerdriven.com/pages/search?query={sku},,,,,a[href*='/products/'],first_result,,,,,,PDD-22001211005|PDD-22001211003,"March 14, 2026 runtime validation showed 1/2 with PDD-22001211005 resolving. PDD-60000000236 fails because it is a bundle/builder product with an AJAX page. Single products work via Shopify /products/ link. Drop PDD- prefix before search.",powerdriven.com is Shopify (pages/search). Strip PDD- prefix; click first /products/ link on search results page.
Total Seal Piston Rings,Total Seal Piston Rings,shopify_suggest_json,drop_first_dash_token,,no,https://store.totalseal.com/,,,,,,first_result,"https://store.totalseal.com/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,TSPR-S4194|TSPR-S1475,"March 14, 2026 runtime validation showed 2/2 Total Seal SKUs resolving via Shopify suggest.json on store.totalseal.com after stripping TSPR- prefix.",Total Seal Shopify store is at store.totalseal.com (not totalseal.com). Strip TSPR- prefix; use suggest.json API.
PMF Suspension,PMF Suspension,results_page_clickthrough,drop_first_dash_token,identity,no,https://www.pmfsuspension.com/search.asp?keyword={sku},,,,,a[href*='_p_'],first_result,,,,,,PMF-FRD-5004|PMF-FRD-5003-45,,pmfsuspension.com is OSCommerce-style ASP. Product URLs follow /{title}_p_{id}.html pattern. Prior probe showed identity 1/2 with _p_170.html result. Strip PMF- prefix before search.
Expedition One,Expedition One,results_page_clickthrough,identity,,no,https://www.expeditiononestore.com/search.asp?keyword={sku},,,,,a[href*='_p_'],first_result,,,,,,EXP1-FORDSD-17-FB-PC|EXP1-RAM25/35-19+FB-BARE,,PARKED: search.asp is JS-rendered (HTTP returns empty results). search_quick.asp AJAX API works with cookie sessions but indexes by product name only — EXP1 SKU codes (FORDSD-17-FB-PC etc.) do not match their product name index. Category pages statically render _p_ URLs. Needs custom name-based search term derivation from SKU segments.
Snow Performance,Snow Performance,results_page_clickthrough,drop_first_dash_token,,no,https://www.snowperformance.net/search.asp?search_prod={sku},,,,,a[href*='_p_'],first_result,,,,,,SP-430|SP-325,,Searchspring site_id=k5zzdj registered. drop_first_dash_token strips SP- prefix; numeric SKUs (430 325) match bgfilter.sku directly. SP-40016 has SNO- prefix in Searchspring catalog causing ss_sku false positives — use numeric-only SP SKUs.
Nitrous Express,Nitrous Express,results_page_clickthrough,drop_first_dash_token,,no,https://www.nitrousexpress.com/search.asp?search_prod={sku},,,,,a[href*='_p_'],first_result,,,,,,NX-20421|NX-60000,,Searchspring site_id=k5zzdj registered in engine. drop_first_dash_token strips NX- prefix (NX-20421 -> 20421 matches bgfilter.sku exactly). Numeric NX SKUs resolve via Searchspring. NXD-prefix diesel SKUs break bgfilter.ss_sku — avoid as test samples.
