alias_phrase,pattern,type,category,subtype,google_leaf,support_products,dominant_count,precision,confidence,vendor_count,mapping_variants,example_titles
air fuel separation,\b(?:air\s+fuel\s+separation)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,39,39,1.0,0.9798,1,1,Airdog 4G Air Fuel Separation System 01-10 GM Duramax | Airdog 4G Air Fuel Separation System 05-18 Dodge Ram 5.9/6.7L Cummins | Airdog 4G Air Fuel Separation System 08-10 6.4L Ford Powerstroke
ddc wheels,\b(?:ddc\s+wheels)\b,Wheel & Tire,Wheel & Tire,Wheels,Automotive Rims & Wheels,37,37,1.0,0.9753,1,1,"DDC Wheels Aftermath 20""x 8.25"" Wheel Set 05-10 F-450 | 15-23 F-450 | 08-24 Ram 4500 Dually | DDC Wheels Aftermath 20""x 8.25"" Wheel Set 05-24 F-350 | 11-14 F-450 | 19-24 Ram 3500 Dually | DDC Wheels Aftermath 20""x 8.25"" Wheel Set 94-18 Ram 3500 | 92-10 GM 3500 Dually"
overload bumpstop,\b(?:overload\s+bumpstop)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,36,36,1.0,0.9727,1,1,SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 01-10 GM 2500HD/3500 2WD/4WD | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 03-13 Ram 2500 | 03-23 Ram 3500 | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 11-16 Ford F250/350 SuperDuty 2WD/4WD
door weatherstrip,\b(?:door\s+weatherstrip)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,35,35,1.0,0.9698,1,1,Fairchild Door Weatherstrip Seal Kit | Front or Rear | Drv or Pass Side | 88-00 GM 2500HD/3500 | Fairchild Door Weatherstrip Seal Kit | On Body | Drv & Pass Side | 80-97 Ford F-250/F-350 | Fairchild Door Weatherstrip Seal | Front or Rear | On Body | Drv or Pass Side | 88-00 GM 2500HD/3500
stage 1 transmission,\b(?:stage\s+1\s+transmission)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,33,33,1.0,0.9631,1,1,ATS  Stage 1 Transmission Package 11-19 6.7L Ford Powerstroke 6R140 | ATS Allison Conversion Stage 1 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 2WD | ATS Allison Conversion Stage 1 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 4WD
series plus,\b(?:series\s+plus)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,33,33,1.0,0.9631,1,1,FASS Fuel Systems Titanium Signature Series Plus 110GPH 16-19 Nissan 5.0L Cummins | FASS Fuel Systems Titanium Signature Series Plus Lift Pump 01-10 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS Fuel Systems Titanium Signature Series Plus Lift Pump 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM/LML
door weatherstrip seal,\b(?:door\s+weatherstrip\s+seal)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,32,32,1.0,0.9592,1,1,Fairchild Door Weatherstrip Seal Kit | Front or Rear | Drv or Pass Side | 88-00 GM 2500HD/3500 | Fairchild Door Weatherstrip Seal Kit | On Body | Drv & Pass Side | 80-97 Ford F-250/F-350 | Fairchild Door Weatherstrip Seal | Front or Rear | On Body | Drv or Pass Side | 88-00 GM 2500HD/3500
stage 2 transmission,\b(?:stage\s+2\s+transmission)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,31,31,1.0,0.955,1,1,ATS Allison Conversion Stage 2 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 2WD | ATS Allison Conversion Stage 2 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 4WD | ATS Allison Conversion Stage 2 Transmission 10-12 Ram 6.7L Cummins Aisin AS68RC 2WD
dpfback exhaust,\b(?:dpfback\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,31,31,1.0,0.955,1,1,"AFE 5"" DPF-Back Exhaust System 19-25 Ram 2500/3500 6.7L Cummins | AFE ATLAS 3.5"" Aluminized DPF-Back Exhaust System 16-22 Colorado 2.8L Duramax | AFE ATLAS 4"" Aluminized DPF-Back Exhaust System 11-16 GM 6.6L Duramax LML"
titanium signature series,\b(?:titanium\s+signature\s+series)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,87,83,0.954,0.9539,1,2,FASS Fuel Systems Replacement 100 GPH Titanium Signature Series Pump Motor | FASS Fuel Systems Replacement 140 GPH Titanium Signature Series Pump Motor | FASS Fuel Systems Replacement 260 GPH Titanium Signature Series Pump Motor
digitalfit floor liner set,\b(?:digitalfit\s+floor\s+liner\s+set)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Floor Mats,Motor Vehicle Interior Fittings,38,37,0.9737,0.9519,1,2,WeatherTech DigitalFit Floor Liner Set (2 Pc Front) 07.5-14 Chevy Silverado / GMC Sierra Crew Cab | WeatherTech DigitalFit Floor Liner Set (2 Pc Front) 07.5-14 Chevy Silverado / GMC Sierra Ext Cab | WeatherTech DigitalFit Floor Liner Set (2 Pc Front) 10-12 Dodge Ram Crew Cab 1 Hook
rear suspension bump stops,\b(?:rear\s+suspension\s+bump\s+stops)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,30,30,1.0,0.9502,1,1,Timbren DR1525H4 SES Rear Suspension Bump Stops 94-02 Dodge Ram 5.9L Cummins 2500 4WD | Timbren DR250 SES Rear Suspension Bump Stops 89-93 Dodge Ram 5.9L Cummins D/W250 2WD/4WD | Timbren DR2500CA SES Rear Suspension Bump Stops 03-13 Ram 5.9L / 6.7L Cummins 2500
common rail injector,\b(?:common\s+rail\s+injector)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,30,30,1.0,0.9502,1,1,BD 1715502 Stock Replacement Common Rail Injector 01-04 GM Duramax LB7 | BD 1715504 Stock Replacement Common Rail Injector 04.5-05 GM Duramax LLY | BD 1715520 Stock Replacement Common Rail Injector 07.5-10 GM Duramax LMM
ses rear suspension,\b(?:ses\s+rear\s+suspension)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,30,30,1.0,0.9502,1,1,Timbren DR1525H4 SES Rear Suspension Bump Stops 94-02 Dodge Ram 5.9L Cummins 2500 4WD | Timbren DR250 SES Rear Suspension Bump Stops 89-93 Dodge Ram 5.9L Cummins D/W250 2WD/4WD | Timbren DR2500CA SES Rear Suspension Bump Stops 03-13 Ram 5.9L / 6.7L Cummins 2500
inlet x,\b(?:inlet\s+x)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,30,30,1.0,0.9502,1,1,"MBRP T5051 4"" Inlet x 5"" Outlet x 12"" Length Rolled Angle Cut Polished Stainless Exhaust Tip | MBRP T5052 4"" Inlet x 5"" Outlet x 12"" Length Single Wall Angle Cut Polished Stainless Exhaust Tip | MBRP T5072BLK 4"" Inlet x 6"" Outlet x 12"" Length Rolled Angle Cut Black Exhaust Tip"
air fuel separation lift pump,\b(?:air\s+fuel\s+separation\s+lift\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,29,29,1.0,0.945,1,1,Airdog II-5G 100 GPH Air Fuel Separation Lift Pump 98.5-04.5 Dodge 5.9L Cummins W/Block Mounted Pump | Airdog II-5G 100 GPH Air Fuel Separation Lift Pump 98.5-04.5 Dodge 5.9L Cummins W/In-Tank Pump | Airdog II-5G 100 GPH Air Fuel Separation Lift Pump System 01-10 GM Duramax
ses rear suspension bump stops,\b(?:ses\s+rear\s+suspension\s+bump\s+stops)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,29,29,1.0,0.945,1,1,Timbren DR1525H4 SES Rear Suspension Bump Stops 94-02 Dodge Ram 5.9L Cummins 2500 4WD | Timbren DR250 SES Rear Suspension Bump Stops 89-93 Dodge Ram 5.9L Cummins D/W250 2WD/4WD | Timbren DR2500CA SES Rear Suspension Bump Stops 03-13 Ram 5.9L / 6.7L Cummins 2500
led projector headlights,\b(?:led\s+projector\s+headlights)\b,Lighting,Lighting,Headlights,Motor Vehicle Lighting,35,34,0.9714,0.9421,1,2,Alpharex LUXX-Series Alpha Black LED Projector Headlights 10-18 Ram 6.7L Cummins | Alpharex LUXX-Series Alpha-Black LED Projector Headlights 06-09 Dodge Ram 2500 / 3500 | Alpharex LUXX-Series Black LED Projector Headlights 10-18 Dodge Ram 2500 / 3500
gph air fuel separation lift,\b(?:gph\s+air\s+fuel\s+separation\s+lift)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,27,27,1.0,0.9328,1,1,Airdog II-5G 100 GPH Air Fuel Separation Lift Pump 98.5-04.5 Dodge 5.9L Cummins W/Block Mounted Pump | Airdog II-5G 100 GPH Air Fuel Separation Lift Pump 98.5-04.5 Dodge 5.9L Cummins W/In-Tank Pump | Airdog II-5G 100 GPH Air Fuel Separation Lift Pump System 01-10 GM Duramax
rear overload bumpstop,\b(?:rear\s+overload\s+bumpstop)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,27,27,1.0,0.9328,1,1,SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 01-10 GM 2500HD/3500 2WD/4WD | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 03-13 Ram 2500 | 03-23 Ram 3500 | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 11-16 Ford F250/350 SuperDuty 2WD/4WD
belt weatherstrip,\b(?:belt\s+weatherstrip)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,27,27,1.0,0.9328,1,1,Fairchild Belt Weatherstrip Kit | 4 Pieces | Inner & Outer | Drv & Pass | 87-97 Ford F-250/F-350 | Fairchild Belt Weatherstrip Kit | Inner & Outer | Crew Cab | 87-97 Ford F-250/F-350 | Fairchild Belt Weatherstrip Seal Kit | Inner & Outer | Drv & Pass Side | 81-93 Dodge Ram 250/350
digitalfit front,\b(?:digitalfit\s+front)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Floor Mats,Motor Vehicle Interior Fittings,27,27,1.0,0.9328,1,1,WeatherTech DigitalFit Front Floor Liner 01-07 Chevy Silverado | GMC Sierra Extended & Crew Cab | WeatherTech DigitalFit Front Floor Liner 01-07 Chevy Silverado | GMC Sierra Regular Cab | WeatherTech DigitalFit Front Floor Liner 03-09 Dodge Ram
no drop titanium series,\b(?:no\s+drop\s+titanium\s+series)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,26,26,1.0,0.9257,1,1,FASS No Drop Titanium Series Fuel Pump and Sump Kit 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS No Drop Titanium Series Fuel Pump and Sump Kit 05-18 and 21-24 Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Fuel Pump and Sump Kit 08-10 Ford 6.4L Powerstroke
front floor liner,\b(?:front\s+floor\s+liner)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Floor Mats,Motor Vehicle Interior Fittings,26,26,1.0,0.9257,1,1,WeatherTech DigitalFit 2 Piece Front Floor Liner 15-16 Chevy Silverado / GMC Sierra Crew and Ext Cab | WeatherTech DigitalFit Front Floor Liner 01-07 Chevy Silverado | GMC Sierra Extended & Crew Cab | WeatherTech DigitalFit Front Floor Liner 01-07 Chevy Silverado | GMC Sierra Regular Cab
large borehd,\b(?:large\s+borehd)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,26,26,1.0,0.9257,1,1,"AFE Large Bore-HD 3"" Stainless Steel DPF-Back Exhaust 20-23 Jeep Wrangler JL 3.0L EcoDiesel | AFE Large Bore-HD 3"" Stainless Steel Exhaust System 20-22 Ram 1500 Ecodiesel | AFE Large Bore-HD 3"" Stainless Steel Hi-Tuck DPF Back Exhaust System 16-22 Colorado 2.8L Duramax"
raptor 4g,\b(?:raptor\s+4g)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,26,26,1.0,0.9257,1,1,Airdog Raptor 4G RP Fuel System 19-23 Ram 6.7 Cummins | PureFlow R4SBC133 Raptor 4G 100 GPH Fuel Pump 01-10 6.6L GM Duramax | PureFlow R4SBC134 Raptor 4G 100 GPH Fuel Pump 11-14 6.6L GM Duramax LML
spare parts,\b(?:spare\s+parts)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,26,26,1.0,0.9257,1,1,AFE Magnum FORCE Cold Air Intake System Spare Parts 99-03 Ford F-250 / F-350 Powerstroke | AFE Spare Parts Kit For Intake Systems That End In 10612 | 04.5-05 GM 2500HD / 3500 Duramax | AFE Spare Parts Kit For Intake Systems That End In 10732 | 92-00 GM 2500HD / 3500 6.5L Diesel
build your own gauge kit,\b(?:build\s+your\s+own\s+gauge\s+kit)\b,Gauges,Gauges,Gauge Packages,Motor Vehicle Sensors & Gauges,25,25,1.0,0.9179,1,1,ISSPRO EV2 Build Your Own Gauge Kit 01-07 6.6L GM Duramax | ISSPRO EV2 Build Your Own Gauge Kit 03-07 6.0L Ford Powerstroke | ISSPRO EV2 Build Your Own Gauge Kit 03-09 5.9L/Dodge 6.7L Cummins
for intake systems that end,\b(?:for\s+intake\s+systems\s+that\s+end)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,25,25,1.0,0.9179,1,1,AFE Spare Parts Kit For Intake Systems That End In 10612 | 04.5-05 GM 2500HD / 3500 Duramax | AFE Spare Parts Kit For Intake Systems That End In 10732 | 92-00 GM 2500HD / 3500 6.5L Diesel | AFE Spare Parts Kit For Intake Systems That End In 10782 | 01-04 GM 2500HD / 3500 Duramax
fuel separation lift pump system,\b(?:fuel\s+separation\s+lift\s+pump\s+system)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,25,25,1.0,0.9179,1,1,Airdog II-5G 100 GPH Air Fuel Separation Lift Pump System 01-10 GM Duramax | Airdog II-5G 100 GPH Air Fuel Separation Lift Pump System 05-18 5.9L / 6.7L Cummins | Airdog II-5G 100 GPH Air Fuel Separation Lift Pump System 08-10 Ford 6.4L Powerstroke
intake systems that end in,\b(?:intake\s+systems\s+that\s+end\s+in)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,25,25,1.0,0.9179,1,1,AFE Spare Parts Kit For Intake Systems That End In 10612 | 04.5-05 GM 2500HD / 3500 Duramax | AFE Spare Parts Kit For Intake Systems That End In 10732 | 92-00 GM 2500HD / 3500 6.5L Diesel | AFE Spare Parts Kit For Intake Systems That End In 10782 | 01-04 GM 2500HD / 3500 Duramax
kit for intake systems that,\b(?:kit\s+for\s+intake\s+systems\s+that)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,25,25,1.0,0.9179,1,1,AFE Spare Parts Kit For Intake Systems That End In 10612 | 04.5-05 GM 2500HD / 3500 Duramax | AFE Spare Parts Kit For Intake Systems That End In 10732 | 92-00 GM 2500HD / 3500 6.5L Diesel | AFE Spare Parts Kit For Intake Systems That End In 10782 | 01-04 GM 2500HD / 3500 Duramax
parts kit for intake systems,\b(?:parts\s+kit\s+for\s+intake\s+systems)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,25,25,1.0,0.9179,1,1,AFE Spare Parts Kit For Intake Systems That End In 10612 | 04.5-05 GM 2500HD / 3500 Duramax | AFE Spare Parts Kit For Intake Systems That End In 10732 | 92-00 GM 2500HD / 3500 6.5L Diesel | AFE Spare Parts Kit For Intake Systems That End In 10782 | 01-04 GM 2500HD / 3500 Duramax
spare parts kit for intake,\b(?:spare\s+parts\s+kit\s+for\s+intake)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,25,25,1.0,0.9179,1,1,AFE Spare Parts Kit For Intake Systems That End In 10612 | 04.5-05 GM 2500HD / 3500 Duramax | AFE Spare Parts Kit For Intake Systems That End In 10732 | 92-00 GM 2500HD / 3500 6.5L Diesel | AFE Spare Parts Kit For Intake Systems That End In 10782 | 01-04 GM 2500HD / 3500 Duramax
back aluminized exhaust system,\b(?:back\s+aluminized\s+exhaust\s+system)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,25,25,1.0,0.9179,1,1,"MBRP Armor Lite 4"" Cat Back Aluminized Exhaust System with Muffler 01-05 GM 6.6L Duramax | MBRP Armor Lite 4"" Cat Back Aluminized Exhaust System with Muffler 03-07 Ford 6.0L Powerstroke | MBRP Armor Lite 4"" Cat Back Aluminized Exhaust System with Muffler 04.5-07 Dodge 5.9L Cummins"
sst lift kit,\b(?:sst\s+lift\s+kit)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,25,25,1.0,0.9179,1,1,"ReadyLIFT  69-4630 3"" Front / 2"" Rear SST Lift Kit 16-19 Nissan Titan XD | ReadyLIFT 2"" SST Lift Kit 99.5-04 Ford SuperDuty / Excursion | ReadyLIFT 2.5"" SST Lift Kit 11-16 Ford SuperDuty"
digitalfit front floor liner,\b(?:digitalfit\s+front\s+floor\s+liner)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Floor Mats,Motor Vehicle Interior Fittings,24,24,1.0,0.9093,1,1,WeatherTech DigitalFit Front Floor Liner 01-07 Chevy Silverado | GMC Sierra Extended & Crew Cab | WeatherTech DigitalFit Front Floor Liner 01-07 Chevy Silverado | GMC Sierra Regular Cab | WeatherTech DigitalFit Front Floor Liner 03-09 Dodge Ram
weatherstrip seal kit drv,\b(?:weatherstrip\s+seal\s+kit\s+drv)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,24,24,1.0,0.9093,1,1,Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Front Door Weatherstrip Seal Kit | Drv & Pass Side | 81-93 Dodge Ram 250/350 | Fairchild Front Door Weatherstrip Seal Kit | Drv & Pass Side | Ext Cab | 07.5-13 GM 2500HD/3500
brake rotors,\b(?:brake\s+rotors)\b,Brakes,Brakes,Brake Rotors,Motor Vehicle Braking,24,24,1.0,0.9093,1,1,Hawk Performance Talon Cross Drilled & Slotted Front Brake Rotors 03-08 Ram 2500/3500 4WD | Hawk Performance Talon Cross Drilled & Slotted Rear Brake Rotors 01-10 GM 2500HD/3500HD 2WD/4WD | Hawk Performance Talon Cross Drilled & Slotted Rear Brake Rotors 03-08 Ram 2500/3500 4WD
drive belt,\b(?:drive\s+belt)\b,Engine Components,Engine Components,Belts / Pulleys / Fans,Motor Vehicle Engine Parts,24,24,1.0,0.9093,1,1,Dayco 6PK3455 Main Drive Belt | Dual Alternators | 03-05 & 10-12 & 03-07 GM 6.6L Duramax | Dayco 6PK3510 Main Drive Belt | Dual Alternators | 15-16 GM 6.6L Duramax LML | Dayco Automatic Serpentine Belt Tensioner Main Drive Belt 08-10 Ford 6.4L Powerstroke
outlet x,\b(?:outlet\s+x)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,24,24,1.0,0.9093,1,1,"MBRP T5051 4"" Inlet x 5"" Outlet x 12"" Length Rolled Angle Cut Polished Stainless Exhaust Tip | MBRP T5052 4"" Inlet x 5"" Outlet x 12"" Length Single Wall Angle Cut Polished Stainless Exhaust Tip | MBRP T5072BLK 4"" Inlet x 6"" Outlet x 12"" Length Rolled Angle Cut Black Exhaust Tip"
weatherstrip seal kit drv pass,\b(?:weatherstrip\s+seal\s+kit\s+drv\s+pass)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,23,23,1.0,0.8997,1,1,Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Front Door Weatherstrip Seal Kit | Drv & Pass Side | 81-93 Dodge Ram 250/350 | Fairchild Front Door Weatherstrip Seal Kit | Drv & Pass Side | Ext Cab | 07.5-13 GM 2500HD/3500
end gasket kit,\b(?:end\s+gasket\s+kit)\b,Engine Components,Engine Components,Gaskets,Motor Vehicle Engine Parts,23,23,1.0,0.8997,1,1,Cometic Bottom End Gasket Kit 03-07 Ford 6.0L Powerstroke | Cometic Bottom End Gasket Kit 07.5-10 GM 6.6L Duramax LMM Silverado 2500HD/3500 | Cometic Bottom End Gasket Kit 08-10 Ford 6.4L Powerstroke
full time operation,\b(?:full\s+time\s+operation)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,23,23,1.0,0.8997,1,1,AFE DFS780 Fuel System (Full Time Operation) 01-10 6.6L GM Duramax | AFE DFS780 Fuel System (Full Time Operation) 03-04.5 Dodge 5.9L  Cummins | AFE DFS780 Fuel System (Full Time Operation) 03-07 Ford 6.0L Powerstroke
xpressor oer series,\b(?:xpressor\s+oer\s+series)\b,Turbos & Accessories,Turbos & Accessories,Complete Turbos,Motor Vehicle Engine Parts,23,23,1.0,0.8997,1,1,XDP Xpressor OER Series New Replacement GTP38 Turbo 99.5-03 Ford 7.3L Powerstroke | XDP Xpressor OER Series New Replacement GTP38 Turbo Early 1999 Ford 7.3L Powerstroke | XDP Xpressor OER Series New Replacement HE300VG Turbo With Actuator 13-18 Ram 6.7L Cummins
black milled,\b(?:black\s+milled)\b,Wheel & Tire,Wheel & Tire,Wheels,Automotive Rims & Wheels,23,23,1.0,0.8997,1,1,"DDC Black/Milled Aftermath 20""x 8.25"" Wheel Set 05-10 F-450 | 15-23 F-450 | 08-24 Ram 4500 Dually | DDC Black/Milled Aftermath 20""x 8.25"" Wheel Set 05-23 F-350 | 11-14 F-450 | 19-24 Ram 3500 Dually | DDC Black/Milled Aftermath 22""x 8.25"" Wheel Set 05-10 F-450 | 15-23 F-450 | 08-24 Ram 4500 Dually"
